Block ID | Timestep | Precision@500
---------|---------|--------------
block 15, timestep 27, precision_k: 0.1200
block 15, timestep 28, precision_k: 0.0920
block 15, timestep 29, precision_k: 0.0780
block 15, timestep 3, precision_k: 0.6880
block 15, timestep 30, precision_k: 0.0900
block 15, timestep 4, precision_k: 0.4900
block 15, timestep 5, precision_k: 0.4400
block 15, timestep 6, precision_k: 0.4220
block 15, timestep 7, precision_k: 0.4120
block 15, timestep 8, precision_k: 0.4060
block 15, timestep 9, precision_k: 0.4000
block 16, timestep 1, precision_k: 0.2920
block 16, timestep 10, precision_k: 0.1840
block 16, timestep 11, precision_k: 0.1840
block 16, timestep 12, precision_k: 0.1840
block 16, timestep 13, precision_k: 0.1820
block 16, timestep 14, precision_k: 0.1740
block 16, timestep 15, precision_k: 0.1680
block 16, timestep 16, precision_k: 0.1720
block 16, timestep 17, precision_k: 0.1840
block 16, timestep 18, precision_k: 0.1780
block 16, timestep 19, precision_k: 0.1960
block 16, timestep 2, precision_k: 0.2340
block 16, timestep 20, precision_k: 0.1960
block 16, timestep 21, precision_k: 0.2060
block 16, timestep 22, precision_k: 0.2020
block 16, timestep 23, precision_k: 0.2120
block 16, timestep 24, precision_k: 0.2060
block 16, timestep 25, precision_k: 0.2120
block 16, timestep 26, precision_k: 0.2280
block 16, timestep 27, precision_k: 0.2540
block 16, timestep 28, precision_k: 0.2340
block 16, timestep 29, precision_k: 0.1620
block 16, timestep 3, precision_k: 0.2480
block 16, timestep 30, precision_k: 0.0920
block 16, timestep 4, precision_k: 0.2300
block 16, timestep 5, precision_k: 0.2200
block 16, timestep 6, precision_k: 0.1940
block 16, timestep 7, precision_k: 0.1780
block 16, timestep 8, precision_k: 0.1680
block 16, timestep 9, precision_k: 0.1660
block 17, timestep 1, precision_k: 0.8440
block 17, timestep 10, precision_k: 0.4100
block 17, timestep 11, precision_k: 0.3820
block 17, timestep 12, precision_k: 0.3600
block 17, timestep 13, precision_k: 0.3420
block 17, timestep 14, precision_k: 0.3100
block 17, timestep 15, precision_k: 0.2940
block 17, timestep 16, precision_k: 0.2860
block 17, timestep 17, precision_k: 0.2780
block 17, timestep 18, precision_k: 0.2700
block 17, timestep 19, precision_k: 0.2760
block 17, timestep 2, precision_k: 0.8820
block 17, timestep 20, precision_k: 0.2700
block 17, timestep 21, precision_k: 0.2620
block 17, timestep 22, precision_k: 0.2560
block 17, timestep 23, precision_k: 0.2580
block 17, timestep 24, precision_k: 0.2500
block 17, timestep 25, precision_k: 0.2520
block 17, timestep 26, precision_k: 0.2740
block 17, timestep 27, precision_k: 0.2840
block 17, timestep 28, precision_k: 0.2420
block 17, timestep 29, precision_k: 0.1980
block 17, timestep 3, precision_k: 0.8400
block 17, timestep 30, precision_k: 0.1280
block 17, timestep 4, precision_k: 0.7720
block 17, timestep 5, precision_k: 0.7080
block 17, timestep 6, precision_k: 0.6400
block 17, timestep 7, precision_k: 0.5940
block 17, timestep 8, precision_k: 0.5540
block 17, timestep 9, precision_k: 0.5160
block 18, timestep 1, precision_k: 0.9400
block 18, timestep 10, precision_k: 0.4240
block 18, timestep 11, precision_k: 0.4140
block 18, timestep 12, precision_k: 0.4000
block 18, timestep 13, precision_k: 0.3900
block 18, timestep 14, precision_k: 0.3760
block 18, timestep 15, precision_k: 0.3580
block 18, timestep 16, precision_k: 0.3420
block 18, timestep 17, precision_k: 0.3160
block 18, timestep 18, precision_k: 0.2860
block 18, timestep 19, precision_k: 0.2560
block 18, timestep 2, precision_k: 0.9300
block 18, timestep 20, precision_k: 0.2220
block 18, timestep 21, precision_k: 0.1960
