使用生成的对角线模板
阈值: 0.9
找到 682 个匹配结果:
Block 10, Step 13, 相似度: 0.9361
Block 11, Step 11, 相似度: 0.9361
Block 4, Step 24, 相似度: 0.9360
Block 6, Step 28, 相似度: 0.9359
Block 13, Step 9, 相似度: 0.9359
Block 2, Step 26, 相似度: 0.9358
Block 5, Step 0, 相似度: 0.9357
Block 7, Step 15, 相似度: 0.9356
Block 4, Step 25, 相似度: 0.9356
Block 10, Step 14, 相似度: 0.9355
Block 11, Step 10, 相似度: 0.9355
Block 17, Step 17, 相似度: 0.9354
Block 5, Step 24, 相似度: 0.9352
Block 4, Step 26, 相似度: 0.9352
Block 5, Step 25, 相似度: 0.9351
Block 12, Step 16, 相似度: 0.9351
Block 7, Step 16, 相似度: 0.9351
Block 14, Step 7, 相似度: 0.9351
Block 5, Step 23, 相似度: 0.9350
Block 20, Step 11, 相似度: 0.9350
Block 10, Step 15, 相似度: 0.9350
Block 17, Step 18, 相似度: 0.9348
Block 5, Step 26, 相似度: 0.9348
Block 5, Step 22, 相似度: 0.9348
Block 11, Step 9, 相似度: 0.9347
Block 4, Step 27, 相似度: 0.9347
Block 14, Step 8, 相似度: 0.9346
Block 10, Step 16, 相似度: 0.9346
Block 7, Step 17, 相似度: 0.9346
Block 6, Step 29, 相似度: 0.9346
Block 2, Step 27, 相似度: 0.9345
Block 16, Step 3, 相似度: 0.9345
Block 4, Step 28, 相似度: 0.9344
Block 5, Step 21, 相似度: 0.9344
Block 20, Step 29, 相似度: 0.9344
Block 20, Step 28, 相似度: 0.9343
Block 20, Step 27, 相似度: 0.9343
Block 17, Step 19, 相似度: 0.9343
Block 20, Step 12, 相似度: 0.9342
Block 20, Step 26, 相似度: 0.9342
Block 5, Step 27, 相似度: 0.9342
Block 7, Step 18, 相似度: 0.9342
Block 13, Step 3, 相似度: 0.9342
Block 10, Step 17, 相似度: 0.9341
Block 6, Step 30, 相似度: 0.9341
Block 8, Step 4, 相似度: 0.9341
Block 13, Step 6, 相似度: 0.9341
Block 20, Step 25, 相似度: 0.9341
Block 4, Step 29, 相似度: 0.9340
Block 16, Step 10, 相似度: 0.9340
Block 17, Step 20, 相似度: 0.9340
Block 20, Step 24, 相似度: 0.9340
Block 7, Step 19, 相似度: 0.9339
Block 5, Step 20, 相似度: 0.9339
Block 12, Step 17, 相似度: 0.9339
Block 10, Step 18, 相似度: 0.9338
Block 20, Step 23, 相似度: 0.9338
Block 17, Step 21, 相似度: 0.9338
Block 2, Step 28, 相似度: 0.9338
Block 14, Step 9, 相似度: 0.9337
Block 20, Step 13, 相似度: 0.9337
Block 20, Step 22, 相似度: 0.9337
Block 20, Step 30, 相似度: 0.9337
Block 4, Step 30, 相似度: 0.9337
Block 17, Step 22, 相似度: 0.9336
